ORDERID;CUSTOMERID;PRODUCTID;QUANTITY;ORDERDATE;PRODUCTID;PRODUCTNAME;PRICE
1056;1274;2046;1;2024/07/31;2046;Product_2046;619
1057;1132;2044;10;2024/04/27;2044;Product_2044;148
1058;1196;2187;3;2023/02/17;2187;Product_2187;866
1059;1250;2104;3;2024/08/29;2104;Product_2104;1680
1060;1291;2013;10;2025/02/17;2013;Product_2013;1186
1061;1153;2053;6;2024/04/05;2053;Product_2053;1746
1062;1238;2162;6;2024/04/30;2162;Product_2162;978
1063;1021;2003;3;2024/01/09;2003;Product_2003;1398
1064;1335;2197;7;2024/03/10;2197;Product_2197;1222
1065;1128;2034;10;2023/12/11;2034;Product_2034;13
1066;1360;2156;2;2024/06/27;2156;Product_2156;541
1067;1230;2042;5;2024/11/14;2042;Product_2042;202
1068;1353;2074;5;2024/05/09;2074;Product_2074;485
1069;1247;2061;4;2023/08/06;2061;Product_2061;1595
1070;1376;2062;8;2024/06/26;2062;Product_2062;1837
1071;1215;2083;4;2023/12/21;2083;Product_2083;1040
1072;1199;2092;9;2024/01/17;2092;Product_2092;1034
1073;1349;2155;10;2024/09/07;2155;Product_2155;1792
1074;1122;2075;10;2024/11/19;2075;Product_2075;667
1075;1397;2032;4;2023/07/30;2032;Product_2032;754
1076;1139;2062;1;2023/04/26;2062;Product_2062;1837
1077;1327;2025;1;2023/05/29;2025;Product_2025;941
1078;1274;2183;7;2023/05/31;2183;Product_2183;215
1079;1215;2114;10;2023/04/12;2114;Product_2114;986
1080;1029;2173;9;2024/08/14;2173;Product_2173;1750
1081;1261;2167;4;2024/11/21;2167;Product_2167;61
1082;1195;2085;6;2023/04/14;2085;Product_2085;574
1083;1156;2086;7;2023/10/26;2086;Product_2086;1796
1084;1024;2169;10;2024/05/21;2169;Product_2169;430
1085;1319;2175;5;2023/05/26;2175;Product_2175;44
1086;1264;2037;3;2023/11/07;2037;Product_2037;1351
1087;1350;2162;9;2024/06/12;2162;Product_2162;978
1088;1252;2119;3;2024/04/10;2119;Product_2119;541
1089;1298;2108;4;2024/05/02;2108;Product_2108;318
1090;1034;2081;9;2024/11/23;2081;Product_2081;1421
1091;1094;2013;1;2024/04/14;2013;Product_2013;1186
1092;1058;2065;7;2024/09/12;2065;Product_2065;13
1093;1157;2131;9;2023/01/23;2131;Product_2131;784
1094;1337;2011;5;2024/12/20;2011;Product_2011;881
1095;1162;2041;10;2025/01/31;2041;Product_2041;725
1096;1281;2186;9;2023/07/24;2186;Product_2186;1266
1097;1169;2148;5;2023/04/20;2148;Product_2148;774
1098;1043;2191;7;2024/11/19;2191;Product_2191;609
1099;1385;2074;3;2025/02/07;2074;Product_2074;485
1100;1321;2186;4;2024/10/20;2186;Product_2186;1266
1101;1238;2145;4;2023/07/30;2145;Product_2145;1337
1102;1135;2086;10;2024/02/17;2086;Product_2086;1796
1103;1194;2130;3;2023/12/24;2130;Product_2130;1193
1104;1356;2149;6;2024/05/26;2149;Product_2149;115
1105;1238;2185;4;2024/04/03;2185;Product_2185;791
1106;1001;2084;10;2024/05/15;2084;Product_2084;1179
1107;1128;2130;6;2024/10/18;2130;Product_2130;1193
1108;1188;2009;3;2025/01/05;2009;Product_2009;342
1109;1326;2017;2;2024/12/21;2017;Product_2017;1688
1110;1263;2196;7;2024/08/12;2196;Product_2196;826
1111;1396;2041;4;2023/09/22;2041;Product_2041;725
1112;1281;2149;10;2024/01/04;2149;Product_2149;115
1113;1285;2004;10;2024/01/01;2004;Product_2004;1996
1114;1043;2118;10;2023/12/02;2118;Product_2118;328
1115;1096;2122;4;2023/05/29;2122;Product_2122;216
1116;1204;2109;10;2023/01/25;2109;Product_2109;1382
1117;1070;2140;5;2025/02/07;2140;Product_2140;365
1118;1005;2087;5;2024/09/05;2087;Product_2087;767
1119;1352;2126;4;2023/09/29;2126;Product_2126;919
1120;1303;2183;3;2024/02/02;2183;Product_2183;215
1121;1035;2199;10;2024/04/17;2199;Product_2199;1923
1122;1170;2151;9;2023/04/03;2151;Product_2151;418
1123;1253;2099;9;2024/06/27;2099;Product_2099;1674
1124;1293;2200;1;2023/04/14;2200;Product_2200;330
1125;1161;2153;8;2023/10/18;2153;Product_2153;656
1126;1226;2083;1;2023/06/27;2083;Product_2083;1040
1127;1081;2051;10;2024/01/10;2051;Product_2051;529
1128;1380;2123;10;2023/02/04;2123;Product_2123;1584
1129;1116;2010;2;2024/04/05;2010;Product_2010;1864
1130;1118;2143;1;2024/09/03;2143;Product_2143;1956
1131;1150;2187;4;2023/06/16;2187;Product_2187;866
1132;1250;2046;7;2024/11/13;2046;Product_2046;619
1133;1266;2044;9;2024/11/24;2044;Product_2044;148
1134;1221;2087;6;2023/11/16;2087;Product_2087;767
1135;1095;2132;2;2023/09/24;2132;Product_2132;1422
1136;1304;2198;10;2023/07/31;2198;Product_2198;554
1137;1273;2034;3;2024/09/02;2034;Product_2034;13
1138;1054;2106;6;2024/06/11;2106;Product_2106;1435
1139;1276;2020;7;2023/02/13;2020;Product_2020;311
1140;1030;2070;10;2023/12/29;2070;Product_2070;1863
1141;1110;2041;9;2023/02/19;2041;Product_2041;725
1142;1175;2115;7;2024/04/26;2115;Product_2115;1585
1143;1271;2145;2;2024/06/05;2145;Product_2145;1337
1144;1388;2011;6;2024/07/28;2011;Product_2011;881
1145;1232;2014;6;2024/09/21;2014;Product_2014;522
1146;1130;2003;9;2024/05/15;2003;Product_2003;1398
1147;1131;2018;5;2024/05/23;2018;Product_2018;1164
1148;1134;2134;1;2024/05/28;2134;Product_2134;686
1149;1206;2135;3;2023/08/07;2135;Product_2135;1815
1150;1350;2132;6;2023/11/08;2132;Product_2132;1422
1151;1267;2195;4;2023/11/05;2195;Product_2195;1015
1152;1042;2060;6;2023/11/19;2060;Product_2060;103
1153;1005;2200;1;2023/07/03;2200;Product_2200;330
1154;1304;2069;3;2024/06/11;2069;Product_2069;597
1155;1092;2191;6;2023/05/16;2191;Product_2191;609
1156;1181;2082;3;2024/03/11;2082;Product_2082;500
1157;1285;2131;5;2024/11/02;2131;Product_2131;784
1158;1344;2160;4;2024/03/11;2160;Product_2160;413
1159;1266;2066;10;2023/08/20;2066;Product_2066;1664
1160;1127;2167;2;2024/07/04;2167;Product_2167;61
1161;1337;2152;4;2024/06/15;2152;Product_2152;251
1162;1032;2155;1;2023/01/07;2155;Product_2155;1792
1163;1302;2062;10;2023/12/13;2062;Product_2062;1837
1164;1007;2059;2;2023/01/29;2059;Product_2059;1278
1165;1355;2003;3;2024/06/29;2003;Product_2003;1398
1166;1074;2142;10;2023/02/03;2142;Product_2142;634
1167;1117;2177;9;2024/04/20;2177;Product_2177;1766
1168;1071;2163;6;2024/07/21;2163;Product_2163;85
1169;1010;2065;4;2024/08/26;2065;Product_2065;13
1170;1095;2078;4;2023/04/04;2078;Product_2078;333
1171;1040;2111;9;2023/12/04;2111;Product_2111;313
1172;1088;2043;1;2023/10/06;2043;Product_2043;1947
1173;1290;2169;8;2023/09/22;2169;Product_2169;430
1174;1096;2151;5;2024/01/07;2151;Product_2151;418
1175;1345;2186;7;2024/08/29;2186;Product_2186;1266
1176;1266;2110;1;2023/01/02;2110;Product_2110;1017
1177;1345;2005;3;2024/04/27;2005;Product_2005;1146
1178;1182;2009;3;2024/06/08;2009;Product_2009;342
1179;1158;2132;4;2024/03/13;2132;Product_2132;1422
1180;1265;2190;8;2023/12/03;2190;Product_2190;1755
1181;1343;2126;4;2024/10/28;2126;Product_2126;919
1182;1224;2097;1;2023/12/05;2097;Product_2097;521
1183;1215;2073;6;2024/02/02;2073;Product_2073;355
1184;1200;2043;6;2024/05/28;2043;Product_2043;1947
1185;1115;2133;1;2024/05/18;2133;Product_2133;75
1186;1059;2029;7;2023/02/03;2029;Product_2029;964
1187;1063;2048;3;2023/11/19;2048;Product_2048;1270
1188;1103;2011;3;2024/10/20;2011;Product_2011;881
1189;1372;2193;2;2024/11/01;2193;Product_2193;1281
1190;1308;2088;10;2023/04/12;2088;Product_2088;201
1191;1135;2049;2;2024/08/18;2049;Product_2049;1904
1192;1260;2067;6;2024/08/22;2067;Product_2067;832
1193;1378;2005;3;2023/01/26;2005;Product_2005;1146
1194;1309;2019;8;2024/11/05;2019;Product_2019;1548
1195;1389;2197;10;2023/10/05;2197;Product_2197;1222
1196;1201;2066;8;2023/07/05;2066;Product_2066;1664
1197;1048;2140;1;2024/04/06;2140;Product_2140;365
1198;1084;2064;9;2023/01/01;2064;Product_2064;742
1199;1381;2172;10;2024/03/05;2172;Product_2172;445
1200;1307;2082;9;2024/05/28;2082;Product_2082;500
1201;1343;2041;5;2023/06/10;2041;Product_2041;725
1202;1067;2058;6;2024/10/30;2058;Product_2058;1767
1203;1177;2132;8;2023/03/23;2132;Product_2132;1422
1204;1273;2033;9;2023/07/18;2033;Product_2033;1854
1205;1006;2168;8;2023/11/15;2168;Product_2168;1775
1206;1328;2011;6;2023/09/28;2011;Product_2011;881
1207;1282;2002;3;2023/05/02;2002;Product_2002;1558
1208;1255;2029;2;2024/04/02;2029;Product_2029;964
1209;1142;2067;2;2023/03/10;2067;Product_2067;832
1210;1240;2060;6;2023/01/26;2060;Product_2060;103
1211;1195;2146;1;2024/06/17;2146;Product_2146;1074
1212;1320;2025;7;2024/04/07;2025;Product_2025;941
1213;1019;2106;6;2024/04/30;2106;Product_2106;1435
1214;1292;2170;4;2024/11/23;2170;Product_2170;1145
1215;1048;2049;10;2024/08/07;2049;Product_2049;1904
1216;1346;2199;6;2023/12/04;2199;Product_2199;1923
1217;1388;2076;5;2024/12/07;2076;Product_2076;861
1218;1173;2187;4;2024/06/13;2187;Product_2187;866
1219;1142;2167;10;2024/01/03;2167;Product_2167;61
1220;1365;2082;4;2023/12/06;2082;Product_2082;500
1221;1382;2048;2;2024/08/15;2048;Product_2048;1270
1222;1211;2012;3;2024/08/21;2012;Product_2012;129
1223;1354;2182;2;2023/07/05;2182;Product_2182;991
1224;1360;2013;3;2024/08/30;2013;Product_2013;1186
1225;1340;2096;8;2024/12/17;2096;Product_2096;958
1226;1143;2176;1;2023/06/05;2176;Product_2176;1407
1227;1185;2055;9;2023/12/08;2055;Product_2055;834
1228;1061;2019;6;2024/05/09;2019;Product_2019;1548
1229;1359;2145;2;2024/05/29;2145;Product_2145;1337
1230;1358;2043;1;2024/12/28;2043;Product_2043;1947
1231;1155;2107;6;2023/02/03;2107;Product_2107;21
1232;1147;2087;5;2024/01/20;2087;Product_2087;767
1233;1281;2148;7;2024/07/15;2148;Product_2148;774
1234;1309;2180;6;2023/01/10;2180;Product_2180;1880
1235;1012;2190;3;2023/04/22;2190;Product_2190;1755
1236;1341;2011;9;2023/03/26;2011;Product_2011;881
1237;1156;2030;6;2023/12/01;2030;Product_2030;225
1238;1331;2004;3;2023/04/14;2004;Product_2004;1996
1239;1324;2130;3;2025/01/01;2130;Product_2130;1193
1240;1376;2185;6;2023/10/22;2185;Product_2185;791
1241;1376;2118;4;2024/07/08;2118;Product_2118;328
1242;1022;2025;3;2024/11/04;2025;Product_2025;941
1243;1265;2048;4;2023/03/27;2048;Product_2048;1270
1244;1067;2178;1;2023/08/20;2178;Product_2178;1426
1245;1081;2120;2;2024/06/16;2120;Product_2120;59
1246;1359;2152;3;2024/08/06;2152;Product_2152;251
1247;1379;2063;8;2025/01/26;2063;Product_2063;794
1248;1178;2120;7;2025/02/24;2120;Product_2120;59
1249;1263;2092;8;2024/06/17;2092;Product_2092;1034
1250;1283;2147;6;2023/05/25;2147;Product_2147;1374
1251;1087;2098;5;2024/06/29;2098;Product_2098;1617
1252;1247;2177;10;2023/04/01;2177;Product_2177;1766
1253;1332;2010;2;2023/02/25;2010;Product_2010;1864
1254;1159;2161;1;2024/10/14;2161;Product_2161;667
1255;1129;2167;1;2023/08/07;2167;Product_2167;61
1256;1352;2071;4;2023/02/06;2071;Product_2071;317
1257;1055;2199;2;2024/11/06;2199;Product_2199;1923
1258;1030;2028;8;2023/03/11;2028;Product_2028;1691
1259;1329;2001;5;2023/08/29;2001;Product_2001;833
1260;1269;2090;3;2023/01/22;2090;Product_2090;1662
1261;1151;2005;4;2023/09/12;2005;Product_2005;1146
1262;1318;2060;8;2024/06/29;2060;Product_2060;103
1263;1173;2190;1;2023/02/04;2190;Product_2190;1755
1264;1393;2091;6;2024/05/26;2091;Product_2091;563
1265;1383;2075;3;2024/11/18;2075;Product_2075;667
1266;1265;2117;3;2023/09/29;2117;Product_2117;1427
1267;1389;2159;2;2025/02/14;2159;Product_2159;582
1268;1328;2055;1;2023/08/27;2055;Product_2055;834
1269;1148;2027;2;2024/09/10;2027;Product_2027;825
1270;1378;2088;9;2024/12/14;2088;Product_2088;201
1271;1281;2089;6;2024/09/16;2089;Product_2089;1466
1272;1375;2022;10;2023/05/11;2022;Product_2022;1587
1273;1340;2184;2;2024/08/08;2184;Product_2184;1565
1274;1287;2105;3;2023/01/29;2105;Product_2105;1284
1275;1368;2027;2;2023/08/27;2027;Product_2027;825
1276;1236;2194;7;2025/02/09;2194;Product_2194;1907
1277;1221;2080;5;2024/04/01;2080;Product_2080;707
1278;1308;2197;10;2024/05/22;2197;Product_2197;1222
1279;1394;2157;1;2024/05/31;2157;Product_2157;654
1280;1301;2109;9;2023/10/18;2109;Product_2109;1382
1281;1159;2114;1;2023/09/15;2114;Product_2114;986
1282;1152;2157;4;2024/12/13;2157;Product_2157;654
1283;1254;2160;6;2024/04/17;2160;Product_2160;413
1284;1282;2107;4;2023/03/03;2107;Product_2107;21
1285;1077;2092;1;2023/04/20;2092;Product_2092;1034
1286;1029;2180;4;2024/05/08;2180;Product_2180;1880
1287;1329;2020;3;2025/02/09;2020;Product_2020;311
1288;1205;2110;3;2023/08/02;2110;Product_2110;1017
1289;1117;2023;7;2023/03/18;2023;Product_2023;1465
1290;1254;2115;10;2023/08/23;2115;Product_2115;1585
1291;1003;2038;1;2024/12/17;2038;Product_2038;140
1292;1079;2122;6;2025/02/22;2122;Product_2122;216
1293;1327;2174;1;2024/05/14;2174;Product_2174;244
1294;1262;2012;1;2024/07/27;2012;Product_2012;129
1295;1008;2074;7;2023/01/25;2074;Product_2074;485
1296;1275;2054;6;2023/09/28;2054;Product_2054;620
1297;1047;2027;1;2024/02/10;2027;Product_2027;825
1298;1163;2005;7;2023/08/11;2005;Product_2005;1146
1299;1156;2111;10;2025/01/12;2111;Product_2111;313
1300;1165;2094;7;2023/02/25;2094;Product_2094;404
1301;1235;2011;7;2023/01/11;2011;Product_2011;881
1302;1011;2175;2;2024/05/20;2175;Product_2175;44
1303;1381;2029;7;2024/01/21;2029;Product_2029;964
1304;1389;2198;2;2024/09/05;2198;Product_2198;554
1305;1286;2163;4;2024/01/13;2163;Product_2163;85
1306;1229;2160;8;2024/02/18;2160;Product_2160;413
1307;1200;2052;6;2024/06/06;2052;Product_2052;1691
1308;1347;2177;3;2024/08/23;2177;Product_2177;1766
1309;1092;2150;8;2024/05/06;2150;Product_2150;1500
1310;1003;2093;3;2023/11/09;2093;Product_2093;915
1311;1358;2006;1;2023/04/17;2006;Product_2006;694
1312;1398;2128;3;2023/02/26;2128;Product_2128;28
1313;1395;2195;3;2023/04/14;2195;Product_2195;1015
1314;1174;2144;7;2025/02/17;2144;Product_2144;1284
1315;1315;2059;8;2023/05/28;2059;Product_2059;1278
1316;1152;2039;6;2023/08/14;2039;Product_2039;237
1317;1254;2150;5;2024/09/15;2150;Product_2150;1500
1318;1266;2090;1;2024/04/28;2090;Product_2090;1662
1319;1147;2148;9;2024/01/01;2148;Product_2148;774
1320;1309;2039;1;2023/03/05;2039;Product_2039;237
1321;1286;2181;5;2024/06/25;2181;Product_2181;244
1322;1266;2116;8;2024/04/16;2116;Product_2116;1160
1323;1340;2131;6;2023/02/22;2131;Product_2131;784
1324;1293;2116;9;2023/07/20;2116;Product_2116;1160
1325;1096;2005;6;2023/01/02;2005;Product_2005;1146
1326;1157;2117;6;2024/11/15;2117;Product_2117;1427
1327;1304;2167;8;2023/02/10;2167;Product_2167;61
1328;1126;2147;7;2023/08/29;2147;Product_2147;1374
1329;1360;2116;8;2023/03/08;2116;Product_2116;1160
1330;1241;2051;2;2024/08/12;2051;Product_2051;529
1331;1313;2163;4;2023/09/15;2163;Product_2163;85
1332;1279;2121;6;2024/04/30;2121;Product_2121;397
1333;1032;2088;7;2024/05/30;2088;Product_2088;201
1334;1079;2112;3;2023/04/14;2112;Product_2112;1937
1335;1274;2023;6;2024/05/20;2023;Product_2023;1465
1336;1385;2096;10;2024/10/26;2096;Product_2096;958
1337;1307;2033;6;2025/01/13;2033;Product_2033;1854
1338;1211;2062;2;2025/01/06;2062;Product_2062;1837
1339;1041;2184;1;2024/06/03;2184;Product_2184;1565
1340;1039;2040;4;2025/02/20;2040;Product_2040;1257
1341;1118;2075;9;2023/02/02;2075;Product_2075;667
1342;1332;2040;5;2024/01/18;2040;Product_2040;1257
1343;1024;2197;6;2024/04/17;2197;Product_2197;1222
1344;1126;2104;6;2025/02/23;2104;Product_2104;1680
1345;1118;2125;5;2023/03/23;2125;Product_2125;1552
1346;1361;2052;10;2025/01/30;2052;Product_2052;1691
1347;1277;2183;6;2023/12/08;2183;Product_2183;215
1348;1306;2159;4;2024/11/15;2159;Product_2159;582
1349;1098;2004;2;2024/08/23;2004;Product_2004;1996
1350;1358;2153;2;2023/08/02;2153;Product_2153;656
1351;1242;2046;7;2023/12/30;2046;Product_2046;619
1352;1218;2056;4;2023/11/29;2056;Product_2056;1158
1353;1141;2177;3;2023/07/03;2177;Product_2177;1766
1354;1126;2073;6;2024/08/28;2073;Product_2073;355
1355;1323;2179;4;2024/09/26;2179;Product_2179;154
1356;1396;2180;2;2024/09/01;2180;Product_2180;1880
1357;1182;2185;5;2023/04/11;2185;Product_2185;791
1358;1081;2171;4;2023/11/09;2171;Product_2171;76
1359;1149;2037;4;2024/08/18;2037;Product_2037;1351
1360;1039;2098;4;2024/12/06;2098;Product_2098;1617
1361;1057;2195;7;2023/01/19;2195;Product_2195;1015
1362;1110;2034;4;2024/03/19;2034;Product_2034;13
1363;1210;2052;8;2023/01/17;2052;Product_2052;1691
1364;1039;2092;6;2025/01/13;2092;Product_2092;1034
1365;1035;2155;10;2023/08/16;2155;Product_2155;1792
1366;1050;2158;10;2025/02/27;2158;Product_2158;1690
1367;1176;2186;7;2024/09/27;2186;Product_2186;1266
1368;1159;2041;10;2024/11/29;2041;Product_2041;725
1369;1313;2180;1;2024/04/03;2180;Product_2180;1880
1370;1259;2165;1;2023/08/12;2165;Product_2165;733
1371;1172;2055;2;2023/02/20;2055;Product_2055;834
1372;1059;2091;7;2024/12/13;2091;Product_2091;563
1373;1115;2031;10;2023/12/16;2031;Product_2031;693
1374;1142;2069;10;2024/03/02;2069;Product_2069;597
1375;1073;2022;4;2023/02/03;2022;Product_2022;1587
1376;1301;2083;1;2023/08/27;2083;Product_2083;1040
1377;1055;2025;6;2024/10/07;2025;Product_2025;941
1378;1395;2113;1;2023/03/30;2113;Product_2113;458
1379;1214;2120;6;2024/06/06;2120;Product_2120;59
1380;1236;2016;1;2024/02/24;2016;Product_2016;1105
1381;1222;2012;8;2024/05/01;2012;Product_2012;129
1382;1043;2110;5;2025/01/30;2110;Product_2110;1017
1383;1067;2110;2;2024/11/26;2110;Product_2110;1017
1384;1308;2007;6;2024/12/03;2007;Product_2007;156
1385;1317;2126;6;2024/10/26;2126;Product_2126;919
1386;1158;2130;5;2023/06/03;2130;Product_2130;1193
1387;1373;2200;6;2023/03/24;2200;Product_2200;330
1388;1338;2028;6;2024/09/14;2028;Product_2028;1691
1389;1148;2159;8;2024/08/19;2159;Product_2159;582
1390;1139;2114;5;2024/02/19;2114;Product_2114;986
1391;1168;2037;6;2024/11/16;2037;Product_2037;1351
1392;1234;2121;8;2024/02/08;2121;Product_2121;397
1393;1160;2110;2;2025/01/30;2110;Product_2110;1017
1394;1116;2077;6;2023/12/30;2077;Product_2077;538
1395;1216;2194;9;2025/01/18;2194;Product_2194;1907
1396;1317;2161;2;2024/12/13;2161;Product_2161;667
1397;1016;2018;8;2023/08/05;2018;Product_2018;1164
1398;1022;2091;6;2024/11/11;2091;Product_2091;563
1399;1014;2141;3;2023/01/07;2141;Product_2141;1599
1400;1193;2042;3;2024/11/08;2042;Product_2042;202
1401;1318;2044;3;2023/12/10;2044;Product_2044;148
1402;1206;2160;8;2024/03/20;2160;Product_2160;413
1403;1189;2166;9;2024/02/13;2166;Product_2166;1607
1404;1189;2046;9;2024/08/21;2046;Product_2046;619
1405;1272;2112;2;2024/02/09;2112;Product_2112;1937
1406;1282;2136;6;2024/09/16;2136;Product_2136;887
1407;1199;2063;3;2023/11/29;2063;Product_2063;794
1408;1383;2133;6;2023/03/08;2133;Product_2133;75
1409;1385;2191;9;2023/05/26;2191;Product_2191;609
1410;1262;2183;8;2024/07/10;2183;Product_2183;215
1411;1205;2169;6;2023/10/03;2169;Product_2169;430
1412;1098;2159;8;2023/06/29;2159;Product_2159;582
1413;1210;2010;6;2023/12/31;2010;Product_2010;1864
1414;1032;2021;6;2024/01/14;2021;Product_2021;657
1415;1010;2025;5;2023/02/28;2025;Product_2025;941
1416;1371;2140;1;2024/06/10;2140;Product_2140;365
1417;1180;2192;2;2024/08/26;2192;Product_2192;868
1418;1289;2054;8;2024/09/08;2054;Product_2054;620
1419;1388;2158;4;2024/04/03;2158;Product_2158;1690
1420;1076;2095;10;2023/11/17;2095;Product_2095;1627
1421;1045;2009;2;2023/07/21;2009;Product_2009;342
1422;1007;2094;8;2023/04/17;2094;Product_2094;404
1423;1251;2065;2;2023/10/31;2065;Product_2065;13
1424;1244;2155;10;2024/01/30;2155;Product_2155;1792
1425;1200;2002;10;2024/05/10;2002;Product_2002;1558
1426;1223;2151;5;2024/07/18;2151;Product_2151;418
1427;1263;2141;4;2024/06/13;2141;Product_2141;1599
1428;1265;2086;2;2024/04/05;2086;Product_2086;1796
1429;1354;2132;8;2024/07/04;2132;Product_2132;1422
1430;1292;2078;2;2024/10/09;2078;Product_2078;333
1431;1180;2121;3;2024/01/28;2121;Product_2121;397
1432;1066;2150;2;2023/03/30;2150;Product_2150;1500
1433;1040;2044;5;2024/07/05;2044;Product_2044;148
1434;1313;2136;7;2025/01/26;2136;Product_2136;887
1435;1228;2051;1;2024/08/20;2051;Product_2051;529
1436;1391;2065;5;2023/05/02;2065;Product_2065;13
1437;1335;2074;6;2023/09/17;2074;Product_2074;485
1438;1126;2025;1;2023/01/31;2025;Product_2025;941
1439;1153;2048;1;2025/02/06;2048;Product_2048;1270
1440;1382;2123;5;2023/09/18;2123;Product_2123;1584
1441;1029;2112;2;2023/07/30;2112;Product_2112;1937
1442;1333;2052;8;2023/08/19;2052;Product_2052;1691
1443;1164;2195;4;2023/05/24;2195;Product_2195;1015
1444;1315;2170;3;2023/08/18;2170;Product_2170;1145
1445;1276;2179;6;2023/11/16;2179;Product_2179;154
1446;1373;2106;8;2023/07/10;2106;Product_2106;1435
1447;1189;2143;9;2024/07/31;2143;Product_2143;1956
1448;1151;2100;8;2023/10/12;2100;Product_2100;1995
1449;1126;2007;5;2025/02/09;2007;Product_2007;156
1450;1381;2037;4;2023/01/01;2037;Product_2037;1351
1451;1273;2056;6;2024/08/03;2056;Product_2056;1158
1452;1036;2027;6;2023/05/09;2027;Product_2027;825
1453;1264;2119;10;2023/11/06;2119;Product_2119;541
1454;1131;2138;9;2024/12/08;2138;Product_2138;1203
1455;1354;2159;9;2024/07/13;2159;Product_2159;582
1456;1100;2165;10;2023/01/03;2165;Product_2165;733
1457;1195;2059;4;2024/01/05;2059;Product_2059;1278
1458;1251;2015;3;2023/03/28;2015;Product_2015;214
1459;1375;2136;7;2024/11/13;2136;Product_2136;887
1460;1004;2054;8;2023/10/29;2054;Product_2054;620
1461;1024;2085;10;2024/03/10;2085;Product_2085;574
1462;1385;2150;1;2023/01/01;2150;Product_2150;1500
1463;1392;2041;8;2024/02/18;2041;Product_2041;725
1464;1225;2135;7;2023/01/17;2135;Product_2135;1815
1465;1291;2119;8;2023/02/22;2119;Product_2119;541
1466;1245;2046;6;2024/04/28;2046;Product_2046;619
1467;1144;2135;9;2023/01/28;2135;Product_2135;1815
1468;1384;2109;1;2024/01/31;2109;Product_2109;1382
1469;1172;2090;1;2023/02/17;2090;Product_2090;1662
1470;1101;2170;5;2024/07/07;2170;Product_2170;1145
1471;1225;2099;1;2024/09/07;2099;Product_2099;1674
1472;1167;2030;3;2024/09/17;2030;Product_2030;225
1473;1025;2033;6;2024/05/21;2033;Product_2033;1854
1474;1250;2021;2;2023/06/18;2021;Product_2021;657
1475;1327;2134;4;2023/09/20;2134;Product_2134;686
1476;1075;2075;9;2024/04/01;2075;Product_2075;667
1477;1017;2181;5;2024/01/19;2181;Product_2181;244
1478;1392;2124;6;2024/06/29;2124;Product_2124;1315
1479;1347;2124;7;2024/04/04;2124;Product_2124;1315
1480;1267;2040;2;2024/06/13;2040;Product_2040;1257
1481;1327;2145;10;2024/01/01;2145;Product_2145;1337
1482;1213;2159;7;2023/05/14;2159;Product_2159;582
1483;1122;2011;6;2024/07/22;2011;Product_2011;881
1484;1031;2121;6;2024/01/23;2121;Product_2121;397
1485;1096;2187;3;2023/11/03;2187;Product_2187;866
1486;1012;2180;10;2023/08/13;2180;Product_2180;1880
1487;1104;2018;1;2024/12/21;2018;Product_2018;1164
1488;1225;2062;5;2023/08/08;2062;Product_2062;1837
1489;1032;2144;7;2025/02/03;2144;Product_2144;1284
1490;1112;2002;5;2023/12/12;2002;Product_2002;1558
1491;1148;2098;4;2023/05/06;2098;Product_2098;1617
1492;1057;2191;9;2023/08/02;2191;Product_2191;609
1493;1161;2176;9;2024/04/14;2176;Product_2176;1407
1494;1200;2082;6;2023/10/13;2082;Product_2082;500
1495;1225;2019;7;2023/04/17;2019;Product_2019;1548
1496;1320;2134;9;2023/12/18;2134;Product_2134;686
1497;1112;2104;8;2023/11/16;2104;Product_2104;1680
1498;1400;2062;7;2025/01/05;2062;Product_2062;1837
1499;1245;2076;5;2023/08/22;2076;Product_2076;861
1500;1040;2021;6;2024/08/20;2021;Product_2021;657
1501;1235;2115;8;2024/01/19;2115;Product_2115;1585
1502;1003;2101;8;2023/08/20;2101;Product_2101;1847
1503;1181;2066;4;2024/01/09;2066;Product_2066;1664
1504;1026;2070;2;2024/09/10;2070;Product_2070;1863
1505;1282;2059;8;2023/03/08;2059;Product_2059;1278
1506;1341;2080;9;2023/11/17;2080;Product_2080;707
1507;1010;2057;4;2023/05/02;2057;Product_2057;1152
1508;1152;2146;1;2024/10/13;2146;Product_2146;1074
1509;1264;2163;2;2024/04/21;2163;Product_2163;85
1510;1045;2160;9;2023/11/25;2160;Product_2160;413
1511;1224;2181;8;2024/02/15;2181;Product_2181;244
1512;1320;2044;3;2024/05/19;2044;Product_2044;148
1513;1225;2095;2;2024/10/04;2095;Product_2095;1627
1514;1373;2068;4;2024/03/22;2068;Product_2068;1395
1515;1227;2092;8;2023/12/14;2092;Product_2092;1034
1516;1166;2119;9;2023/09/16;2119;Product_2119;541
1517;1287;2066;1;2023/07/25;2066;Product_2066;1664
1518;1030;2096;9;2023/11/29;2096;Product_2096;958
1519;1084;2089;9;2023/05/20;2089;Product_2089;1466
1520;1184;2065;6;2025/01/28;2065;Product_2065;13
1521;1382;2079;7;2024/11/08;2079;Product_2079;705
1522;1075;2014;8;2024/04/07;2014;Product_2014;522
1523;1017;2156;3;2023/09/01;2156;Product_2156;541
1524;1152;2190;10;2024/04/06;2190;Product_2190;1755
1525;1002;2040;3;2023/04/25;2040;Product_2040;1257
1526;1199;2058;8;2023/09/11;2058;Product_2058;1767
1527;1255;2194;2;2023/12/08;2194;Product_2194;1907
1528;1319;2193;4;2024/04/26;2193;Product_2193;1281
